Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Ahmedhodži?,Sheffield United,Sheffield United,"LCB, RCB",25,18000000,30/06/2026,14,1322,0,0.54,1,0.28,9.74,60.84,Sweden,"Sweden, Bosnia and Herzegovina",right,190,84,no,6.33,4.02,81.36,2.04,60,0.27,0.35,0.2,2.79,3.62,0.61,5,0.34,1,0.07,0.27,0,0,0,0.04,0,0,2,0.14,0,0,0.07,0.14,0,0,0,0.14,0,0,0.41,66.67,1.7,48,0.27,2.04,0.54,38.53,0.27,0.82,49.7,92.33,17.29,84.65,4.97,91.78,20.56,98.01,46.63,95.47,3,45.45,19.29,39.59,0.02,0.14,0,0.07,0,0,0.14,3.81,75,0.2,0,0.41,33.33,0.07,0,5.72,67.86,0,,0,,0,0,0,0,,,2.72,,,0,0,0,0.07,0,0
I. Meslier,Leeds United,Leeds United,GK,24,18000000,30/06/2026,16,1586,0,0,0,0,0.57,90,France,France,left,196,74,no,1.31,0,0,0.51,88.89,0,0,0,1.31,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.16,0.23,0.17,27.35,92.32,12.03,84.43,0,0,14.02,98.79,22.13,98.46,5.22,66.3,26.18,48.83,0,0,0,0,0,0,0,1.53,59.26,0.17,33.33,0.06,100,0,0,4.14,75.34,12,0.68,31,1.76,9,61.29,9.69,0.55,-2.31,-0.131,0,1.25,0.51,,,,0,0,0
J. Trafford,Burnley,Burnley,GK,22,18000000,30/06/2027,16,1597,0,0,0,0,0.62,81.82,England,England,right,192,90,no,1.07,0,0,0.56,80,0,0,0,1.07,1.58,0,2,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.58,0.17,0,30.38,87.2,14.09,75.2,0,0,14.26,97.63,22.77,98.02,7.61,54.81,27.71,48.04,0,0,0,0.06,0,0,0,2.42,48.84,0.17,33.33,0.11,50,0.06,0,5.97,64.15,6,0.34,32,1.8,10,81.25,7.57,0.43,1.57,0.088,0,1.18,0.56,,,,0,0,0
W. Gnonto,Leeds United,Leeds United,"RAMF, LAMF, RW",21,16000000,30/06/2028,16,1314,3,3.74,4,2.89,22.67,44.11,Italy,"Italy, Côte d'Ivoire",right,170,71,no,4.79,4.86,54.93,1.51,27.27,0.27,0.43,0.21,1.85,2.87,1.3,4,0.27,0,0,5.14,0.21,3,0.21,0.26,0,0,41,2.81,29.27,7.317,0.27,2.26,12.12,0.89,7.69,1.37,15,0.41,5.96,60.92,14.18,44.93,3.9,3.9,0.75,29.66,0.68,2.6,34.73,81.26,7.74,74.34,8.63,95.24,10.14,81.76,31.58,86.55,0.96,64.29,15.59,24.82,0.2,1.37,0,0.07,0.55,75,0.62,2.26,87.88,3.49,58.82,0.55,75,2.33,0.27,4.25,80.65,0,,0,,0,0,0,0,,,0.07,,,0,0,0,0,0,0
J. Brownhill,Burnley,Burnley,"LDMF, LCMF, AMF",28,15000000,30/06/2025,16,1575,5,2.27,0,2.08,14.23,50.6,England,England,right,180,69,no,7.83,5.94,60.58,2.57,46.67,0.57,0.85,0,3.66,5.41,1.14,2,0.11,0,0,1.14,0.29,4,0.23,0.13,0,0,24,1.37,37.5,20.833,0,0.74,61.54,0.63,54.55,0.11,100,0.06,0.57,30,2.8,40.82,1.71,0.69,0.11,26.8,1.03,0.63,37.83,85.65,9.31,68.1,8.34,96.58,13.71,91.25,34.69,88.3,2.46,55.81,17.23,32.48,0.12,0.86,0,0,0.11,0,0.29,3.89,69.12,1.71,56.67,0.11,0,0.97,0.4,4.4,66.23,0,,0,,0,0,0,0,,,1.14,,,0.63,0.06,0,1.26,1,100
G. Hamer,Sheffield United,Sheffield United,"LAMF, LW, AMF",27,15000000,30/06/2027,16,1222,4,2.95,4,2.45,14.95,49.75,Brazil,"Brazil, Netherlands",right,169,61,no,5.97,5.82,65.82,0.81,27.27,0.15,0.19,0,1.99,2.55,1.47,3,0.22,0,0,3.09,0.29,4,0.29,0.22,0,0,40,2.95,35,10,0.29,1.77,20.83,1.4,26.32,0.37,0,0.44,3.02,48.78,6.78,40.22,2.43,1.77,0.29,26,1.1,0.88,36.16,70.06,13.77,61.5,6.19,90.48,10.46,68.31,30.64,76.68,3.76,39.22,18.47,35.16,0.18,0.81,0.15,0,0.59,37.5,0.37,6.48,52.27,4.49,55.74,0.59,75,1.99,0.44,7.36,75,0,,0,,0,0,0,0,,,0.37,,,1.18,0.37,60,1.91,0,0
C. Doyle,Norwich City,Norwich City,"LB, LCB",21,15000000,30/06/2027,17,1680,1,0.23,2,1.58,14.41,53.53,England,England,left,190,85,yes,9.64,5.73,61.68,3.43,46.88,0.27,0.39,0.48,5.84,8.47,0.91,4,0.21,0,0,1.39,0.05,1,0.05,0.01,0,0,6,0.32,66.67,16.667,0.11,1.45,29.63,1.39,26.92,0.05,100,0.05,0.96,66.67,2.68,48,0.48,1.39,0.11,58.5,0.86,0.27,71.3,85.5,28.45,77.02,7.71,95.14,26.89,93.23,63.48,90.72,6.38,46.22,20.24,44.39,0.08,0.64,0,0,0.16,66.67,0.27,10.23,64.92,3,33.93,0.91,41.18,0.59,0.43,12.91,75.93,0,,0,,0,0,0,0,,,1.29,,,0,0,0,0,0,0
P. Struijk,Leeds United,Leeds United,LCB,25,15000000,30/06/2027,16,1586,2,3.31,0,0.02,12.99,69,Belgium,"Belgium, Netherlands",left,190,79,no,6.75,3.92,76.81,5.16,67.03,0.06,0.09,0.23,3.69,5.72,0.57,2,0.11,0,0,0.23,0.11,1,0.06,0.19,0,0,11,0.62,27.27,18.182,0,0.06,0,0.06,0,0,0,0,0.06,0,1.31,47.83,0.74,1.36,0.06,61.8,0.23,0.62,76.27,93.15,33.03,86.77,4.2,95.95,29.91,98.86,71.9,95.74,4.31,51.32,18.15,35.11,0,0.06,0,0.06,0.06,100,0.06,9.76,81.4,0.4,0,0.4,42.86,0.06,0,9.31,79.27,0,,0,,0,0,0,0,,,2.78,,,0,0,0,0,2,50
J. Sargent,Norwich City,Norwich City,CF,24,14000000,30/06/2028,12,1167,4,5.18,2,1.99,13.19,39.18,United States,United States,right,185,79,no,2.16,1.85,62.5,3.47,37.78,0,0,0.08,1,1.41,0.46,2,0.15,0,0,1.54,0.31,3,0.23,0.4,0,0,20,1.54,50,20,0.15,0.23,66.67,0.08,0,0.15,100,0.08,1.16,46.67,5.01,29.23,2.85,1.39,0.23,9.18,0.54,0.69,12.88,82.04,2.01,61.54,4.7,93.44,3.39,86.36,12.34,82.5,0.31,75,13.71,6.09,0.15,0.69,0.08,0,0.23,33.33,0.46,0.93,66.67,0.69,66.67,0.23,33.33,0.69,0.15,1.08,71.43,0,,0,,0,0,0,0,,,0.08,,,0,0,0,0,2,50
D. James,Leeds United,Leeds United,"RAMF, RW",27,14000000,30/06/2026,10,648,2,1.31,2,2.57,14.44,49.04,England,"England, Wales",right,180,76,no,3.19,3.89,57.14,1.67,25,0.14,0.23,0,0.83,1.36,0.83,2,0.28,0,0,6.53,0.28,2,0.28,0.18,0,0,18,2.5,38.89,11.111,0.28,5.83,38.1,0.42,66.67,5.42,35.9,1.11,4.58,69.7,6.53,61.7,2.92,1.81,0.97,19.17,1.25,1.39,25.14,68.51,7.64,65.45,3.19,86.96,8.06,65.52,18.75,78.52,0.83,33.33,23.36,23.42,0.36,1.53,0,0,0.42,33.33,0.83,2.78,70,4.31,48.39,0.28,50,0.83,2.22,5.42,89.74,0,,0,,0,0,0,0,,,0,,,0,0,0,0.97,0,0
