Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Slonina,Barnsley,Barnsley,GK,20,4000000,30/06/2028,11,1088,0,0,0,0.48,1.16,78.57,United States,"United States, Poland",right,193,89,yes,2.4,0.08,100,0.83,90,0,0,0,2.32,3.29,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.66,0.08,0,22.5,84.19,14.81,76.54,0,0,7.44,98.89,11.33,97.08,11.17,71.11,36.05,47.54,0.04,0.17,0.08,0,0.08,100,0,3.06,62.16,0.25,0,0.33,25,0,0,8.6,78.85,16,1.32,49,4.05,1,67.35,15.54,1.29,-0.46,-0.038,0,1.9,0.83,,,,0,0,0
J. Stansfield,Birmingham City,Birmingham City,"CF, AMF, LAMF",22,3500000,30/06/2031,10,818,7,6.44,1,0.66,22.89,34.13,England,England,right,187,69,no,4.95,5.61,62.75,1.65,13.33,0.22,0.49,0,1.21,2.7,1.43,1,0.11,0,0,2.97,0.77,4,0.44,0.71,1,0.11,32,3.52,31.25,21.875,0.11,1.21,9.09,0.44,25,0.77,0,0,4.29,38.46,12.32,23.21,5.06,0.77,0.22,13.09,1.32,0.77,16.5,72,3.96,61.11,4.51,87.8,3.74,64.71,14.63,79.7,1.1,20,18.73,31.44,0.07,0.77,0,0,0.11,100,0.22,1.21,45.45,1.76,50,0,0,1.65,0,1.87,52.94,0,,0,,0,0,0,0,,,0.11,,,0,0,0,0.11,3,100
W. Willumsson,Birmingham City,Birmingham City,"AMF, RAMF",26,3000000,30/06/2028,15,1267,4,2.75,4,1.99,19.32,43.75,Iceland,Iceland,left,193,84,no,5.33,3.76,77.36,3.48,32.65,0,0,0.28,2.42,5.34,0.64,0,0,0,0,2.7,0.28,4,0.28,0.2,0,0,30,2.13,33.33,13.333,0.28,1.21,47.06,0.21,66.67,0.92,38.46,0.14,2.63,54.05,9.45,35.34,2.77,1.28,0,30.9,0.64,0.92,39.07,82.73,10.58,68.46,11.37,93.75,9.87,84.17,35.8,85.52,2.06,55.17,15.15,23.87,0.14,0.99,0,0,0.14,0,0.64,4.26,81.67,1.99,50,0.57,12.5,1.28,0.5,4.9,65.22,0,,0,,0,0,0,0,,,0.21,,,0.21,0.21,33.33,0,0,0
C. Klarer,Birmingham City,Birmingham City,RCB,24,3000000,30/06/2027,14,1390,0,0.4,1,0.47,16.9,63.22,Austria,Austria,right,191,83,no,9.52,6.15,70.53,5.37,67.47,0.19,0.42,0.39,4.99,10.9,1.04,4,0.26,0,0,0.71,0,0,0,0.03,0,0,4,0.26,25,0,0.06,0.71,27.27,0,0,0.65,20,0.06,0.58,77.78,2.78,41.86,0.52,2.01,0.06,60.67,0.52,0.84,80.42,90.34,34.51,84.43,6.8,98.1,30.95,95.19,72.06,95.15,7.64,50.85,20.18,43.34,0.03,0.06,0.06,0.06,0,0,0.06,12.88,75.38,2.27,40,1.04,50,0.84,0.19,13.6,83.81,0,,0,,0,0,0,0,,,4.6,,,0.06,0,0,0,0,0
T. Roberts,Northampton Town,Northampton Town,"CF, RWF",25,2800000,30/06/2027,12,836,0,1.79,1,0.33,21.96,39.22,England,"England, Wales",right,180,75,yes,3.55,2.48,52.17,3.55,45.45,0.43,0.58,0,1.83,2.45,1.4,2,0.22,1,0.11,3.55,0,0,0,0.19,0,0,17,1.83,47.06,0,0.11,1.83,29.41,1.29,25,0.54,40,0.22,4.2,51.28,12.92,34.17,3.12,1.72,0.32,13.56,1.4,1.4,22.61,72.38,6.24,51.72,5.38,96,6.35,72.88,19.59,78.57,1.18,36.36,17.94,24.82,0.04,0.43,0,0,0,0,0.22,2.8,61.54,1.29,58.33,0,0,0.43,0.43,2.48,60.87,0,,0,,0,0,0,0,,,0.11,,,0,0,0,0,0,0
T. Gardner-Hickman,Birmingham City,Birmingham City,"RB, RDMF",22,2500000,30/06/2027,10,567,0,0.05,0,0,19.05,53.33,England,"England, Republic of Ireland",right,188,72,yes,9.37,6.35,67.5,4.13,46.15,0.63,1.3,0.16,4.44,9.13,1.75,2,0.32,0,0,3.02,0,0,0,0.01,0,0,2,0.32,0,0,0,5.56,31.43,0,0,5.56,31.43,0.16,1.9,66.67,5.71,50,0.48,0.32,0,40,3.02,1.43,53.81,75.81,12.22,51.95,13.49,97.65,19.21,78.51,42.22,85.71,6.51,48.78,20.26,38.22,0,0,0,0,0,0,0,5.71,47.22,4.92,35.48,0.32,50,0.95,1.11,8.25,63.46,0,,0,,0,0,0,0,,,1.11,,,0,0,0,0,0,0
K. Bielik,Birmingham City,Birmingham City,LCB,26,2500000,30/06/2027,11,1016,1,0.41,0,0.03,21.79,63.01,Poland,Poland,right,189,78,no,10.54,5.94,71.64,8.59,69.07,0.53,1.13,0.44,5.76,12.26,1.51,3,0.27,1,0.09,0.35,0.09,1,0.09,0.04,1,0.09,3,0.27,33.33,33.333,0,0.09,0,0,0,0.09,0,0.09,0.44,40,2.92,33.33,0.62,2.66,0.09,64.75,0.18,1.42,89.2,93.74,32.69,88.08,5.31,100,43.49,97.15,81.05,96.83,8.06,63.74,20.56,46.7,0,0.09,0.09,0,0.18,50,0,11.52,81.54,0.8,44.44,0.53,50,0.27,0,12.4,82.14,0,,0,,0,0,0,0,,,3.1,,,0,0,0,0,0,0
M. Helik,Huddersfield Town,Huddersfield Town,CB,29,2200000,30/06/2025,10,792,1,0.62,0,0.02,18.41,66.67,Poland,Poland,right,191,80,no,8.75,5.8,66.67,6.59,63.79,0.23,0.35,0.23,4.66,7.19,1.14,3,0.34,0,0,0.34,0.11,1,0.11,0.07,1,0.11,4,0.45,50,25,0,0,0,0,0,0,0,0,0.23,50,0.91,37.5,1.02,0.45,0.11,32.27,0.34,0.34,51.7,87.69,15.68,70.29,1.7,100,31.48,95.31,46.7,91.48,5,52.27,22.93,42.1,0,0.11,0,0.11,0,0,0.11,4.77,59.52,0.34,0,0.34,33.33,0.11,0,6.59,62.07,0,,0,,0,0,0,0,,,1.36,,,0,0,0,0,0,0
B. Wiles,Huddersfield Town,Huddersfield Town,"LCMF, RCMF, AMF",25,2200000,30/06/2026,16,1441,5,2.34,2,1.49,12.18,48.72,England,England,right,172,66,no,4.06,3,68.75,2.31,45.95,0.19,0.27,0.06,1.81,2.63,0.31,0,0,0,0,2.19,0.31,5,0.31,0.15,0,0,28,1.75,39.29,17.857,0.12,1.94,25.81,1.44,21.74,0.5,37.5,0.44,1.37,68.18,4.68,42.67,2.06,0.87,0.25,22.17,0.94,0.81,29.79,78.2,8.06,62.02,7.68,96.75,9.56,76.47,25.73,84.95,2.12,44.12,18.73,37.63,0.09,0.75,0,0.12,0.12,50,0.12,4.31,62.32,2.12,41.18,0.25,0,0.62,0.5,4.56,71.23,0,,0,,0,0,0,0,,,0.75,,,0.5,0.06,0,1.56,0,0
L. Dykes,Birmingham City,Birmingham City,"CF, LAMF",29,2000000,30/06/2027,12,434,0,1.36,0,0.12,27.79,35.07,Scotland,Scotland,right,188,84,no,1.66,2.07,40,14.1,39.71,0,0,0,0.83,2.03,1.66,1,0.21,0,0,0.83,0,0,0,0.28,0,0,11,2.28,27.27,0,0,0.41,0,0,0,0.41,0,0,0.83,25,7.47,22.22,4.56,1.04,0.21,12.86,1.66,1.24,18.04,72.41,4.15,60,6.22,86.67,3.94,68.42,17.42,73.81,0.21,100,15.48,2.59,0.03,1.24,0.21,0.21,0,0,0,1.87,55.56,0.21,0,0,0,0.41,0,1.04,60,0,,0,,0,0,0,0,,,0.21,,,0,0,0,0,0,0
A. Okonkwo,Wrexham,Wrexham,GK,23,1800000,30/06/2027,14,1382,0,0,0,0,0.78,50,England,"England, Nigeria",right,198,85,no,1.69,0.07,0,0.39,66.67,0.07,0.08,0,1.63,1.94,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,50,0.26,50,0,0,0,7.81,0,0,15.43,79.75,10.22,73.25,0,0,4.36,95.52,6.77,97.12,8.47,67.69,41.73,55.34,0,0,0,0,0,0,0,3.71,61.4,0.26,25,0.07,0,0.07,0,6.58,82.18,10,0.65,51,3.32,8,80.39,12.55,0.82,2.55,0.166,0,1.5,0.39,,,,0,0,0
