Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Haaland,Manchester City,Manchester City,CF,24,180000000,30/06/2027,12,1196,12,11.5,0,0.73,12.87,43.86,England,"England, Norway",left,195,94,no,2.18,1.58,52.38,3.24,48.84,0.08,0.12,0.15,1.28,2.06,0.75,2,0.15,0,0,3.39,0.9,11,0.83,0.87,0,0,58,4.36,58.62,20.69,0,0.15,0,0.15,0,0,0,0.08,1.05,78.57,4.52,46.67,5.72,0.38,0.08,7.53,0.9,0.45,7.98,71.7,1.2,43.75,2.03,88.89,2.18,68.97,7.68,74.51,0.15,0,13.16,5.22,0.05,0.38,0,0,0,0,0.23,0.45,66.67,0.6,50,0,0,0.53,0,0.23,33.33,0,,0,,0,0,0,0,,,0,,,0.08,0.08,0,0,1,100
P. Foden,Manchester City,Manchester City,"RCMF, RW, AMF",24,150000000,30/06/2027,9,621,0,1.6,1,3.13,12.17,44.05,England,England,left,171,69,no,2.75,1.59,36.36,0.58,25,0,0,0,2.17,3.31,0.14,0,0,0,0,3.33,0,0,0,0.23,0,0,18,2.61,11.11,0,0.14,1.88,46.15,1.01,28.57,0.72,80,0.43,2.75,47.37,8.55,49.15,4.78,2.17,0.29,35.51,1.16,2.03,42.46,88.4,9.57,72.73,10.72,97.3,11.45,93.67,38.7,91.76,1.88,61.54,14.94,24.79,0.45,2.46,0.14,0,1.45,60,0.72,3.19,81.82,3.91,70.37,1.3,66.67,2.03,0.87,3.91,88.89,0,,0,,0,0,0,0,,,0.72,,,1.01,0,0,3.04,0,0
B. Saka,Arsenal,Arsenal,"RW, RWF",23,140000000,30/06/2027,11,984,4,2.89,8,3.86,23.41,39.45,England,"England, Nigeria",left,178,65,no,4.39,3.93,55.81,1.46,31.25,0,0,0,2.2,3.16,0.82,2,0.18,0,0,6.13,0.37,4,0.37,0.26,0,0,34,3.11,35.29,11.765,0.73,3.48,44.74,0,0,3.38,43.24,0.46,6.49,52.11,15.09,39.39,6.4,3.38,0.27,22.5,1.55,2.1,30,84.45,5.76,77.78,10.15,94.59,8.96,81.63,25.7,91.1,0.82,44.44,16.03,14.2,0.35,3.02,0.09,0,0.09,100,1.37,1.28,85.71,3.48,78.95,0.27,33.33,2.2,1.55,4.66,88.24,0,,0,,0,0,0,0,,,0,,,0.18,0,0,2.74,0,0
D. Rice,Arsenal,Arsenal,"LCMF, RCMF",25,120000000,30/06/2028,10,931,0,0.79,1,2.44,12.18,44.44,England,"England, Republic of Ireland",right,185,80,no,5.22,4.25,59.09,1.74,33.33,0.39,0.54,0.58,2.32,3.21,0.97,3,0.29,1,0.1,1.93,0,0,0,0.08,0,0,11,1.06,18.18,0,0.1,1.74,44.44,1.35,50,0.29,0,0.1,1.35,71.43,4.25,40.91,2.13,1.93,0.39,27.36,0.29,0.58,38.47,89.45,9.86,81.37,7.06,97.26,15.18,92.99,33.93,93.73,2.8,65.52,18.47,35.26,0.24,1.45,0.1,0,0,0,0.29,4.45,80.43,2.32,66.67,0,0,1.26,0.77,4.16,83.72,0,,0,,0,0,0,0,,,1.26,,,1.45,0,0,3.09,0,0
Bruno Guimarães,Newcastle United,Newcastle United,DMF,27,85000000,30/06/2028,12,1169,0,0.83,0,0.54,21.09,54.74,Brazil,"Brazil, Spain",right,182,74,no,9.32,6.62,65.12,0.54,28.57,0.77,0.99,0.38,4.23,5.46,1.39,2,0.15,0,0,2.08,0,0,0,0.06,0,0,13,1,30.77,0,0,0.38,60,0.23,66.67,0.15,50,0,2.31,60,10.93,48.59,0.62,0.77,0.31,30.95,0.15,3.46,41.96,84.77,15.24,73.74,4.62,96.67,15.78,93.66,37.26,88.02,4.31,58.93,18.18,33.38,0.04,0.54,0,0,0.62,25,0.31,7.01,74.73,2.85,56.76,1.39,38.89,1.39,0.23,7.08,77.17,0,,0,,0,0,0,0,,,0.69,,,0.46,0,0,0,0,0
Rúben Dias,Manchester City,Manchester City,"LCB, CB, RCB",27,80000000,30/06/2027,9,814,0,0.63,0,0.09,8.29,60,Portugal,Portugal,right,187,82,no,5.09,3.1,71.43,2.76,60,0.22,0.38,0.33,2.65,4.59,0.55,3,0.33,0,0,0.66,0,0,0,0.07,0,0,9,1,33.33,0,0,0.55,40,0.11,0,0.22,50,0,0.22,50,0.77,42.86,0.88,3.54,0.11,68.55,0.33,0.22,81.82,94.46,23,86.54,2.32,95.24,41.24,98.12,77.51,96.43,3.76,61.76,19.03,24.95,0.01,0.22,0,0.11,0,0,0,11.83,87.85,1.11,60,0.22,0,0.33,0.22,7.3,74.24,0,,0,,0,0,0,0,,,1,,,0,0,0,0,0,0
W. Saliba,Arsenal,Arsenal,RCB,23,80000000,30/06/2027,11,1041,0,0.08,0,0,12.28,69.01,France,"France, Cameroon",right,192,85,no,7.44,5.71,84.85,2.94,55.88,0.09,0.12,0.35,2.51,3.44,0.78,2,0.17,1,0.09,0.52,0,0,0,0.01,0,0,1,0.09,0,0,0,0.09,100,0.09,100,0,0,0,0.43,100,1.56,61.11,0.35,0.09,0,43.14,0.09,0.52,56.2,94.46,15.73,86.26,2.85,96.97,30.95,98.32,54.12,95.69,1.99,60.87,18.84,35.95,0,0,0,0,0,0,0,5.1,83.05,0.52,66.67,0.09,0,0.17,0.09,5.1,76.27,0,,0,,0,0,0,0,,,1.3,,,0,0,0,0,0,0
C. Palmer,Chelsea,Chelsea,AMF,22,80000000,30/06/2033,12,1180,7,4.65,5,3.67,12.36,52.47,England,England,left,189,74,no,3.58,3.05,62.5,0.23,0,0,0,0.08,1.68,2.51,0.38,3,0.23,0,0,3.51,0.53,6,0.46,0.35,0,0,36,2.75,33.33,19.444,0.38,2.06,29.63,1.14,20,0.92,41.67,0.15,2.82,64.86,7.17,58.51,2.52,2.29,0.61,26.24,0.76,2.21,31.42,79.85,9.08,64.71,6.86,96.67,10.98,83.33,26.31,86.38,3.2,54.76,20.09,40.61,0.28,1.98,0,0,0.38,40,0.84,5.72,77.33,3.66,60.42,0.53,57.14,1.75,0.46,5.49,83.33,0,,0,,0,0,0,0,,,0.84,,,1.14,0.53,28.57,2.67,1,100
J. Gvardiol,Manchester City,Manchester City,"LB, LCB",22,75000000,30/06/2028,12,1142,3,0.96,0,1.43,13.79,53.71,Croatia,Croatia,left,185,80,no,7.8,5.36,61.76,2.6,48.48,0.08,0.13,0.39,4.41,7.21,0.47,0,0,0,0,1.73,0.24,3,0.24,0.08,1,0.08,15,1.18,46.67,20,0,1.34,35.29,1.34,35.29,0,0,0,0.79,70,3.39,44.19,2.76,2.6,0.47,54.46,1.26,0.71,65.1,92.74,21.67,90.91,9.54,99.17,23.09,93.86,62.02,95.17,1.73,50,16.85,27.13,0.11,1.1,0.08,0.08,0.16,100,0.55,9.06,88.7,2.13,70.37,0.24,66.67,1.1,0.55,8.04,86.27,0,,0,,0,0,0,0,,,2.68,,,0,0,0,0,0,0
A. Isak,Newcastle United,Newcastle United,CF,25,75000000,30/06/2028,10,959,4,3.99,1,1.27,15.3,31.9,Sweden,"Sweden, Eritrea",right,192,77,no,2.91,2.53,62.96,3.19,20.59,0,0,0.09,1.31,1.72,0.84,0,0,0,0,2.53,0.38,4,0.38,0.37,1,0.09,28,2.63,35.71,14.286,0.09,1.13,41.67,0.28,33.33,0.84,44.44,0.38,2.44,38.46,6.66,22.54,4.22,1.69,0.56,11.73,1.41,0.38,15.11,76.4,2.35,52,3.94,80.95,4.41,85.11,13.61,78.62,0.38,100,13.07,13.37,0.12,0.84,0,0.09,0.28,66.67,0.38,1.03,81.82,0.94,30,0.19,50,0.56,0.47,0.66,42.86,0,,0,,0,0,0,0,,,0,,,0.09,0.09,0,0.09,0,0
